,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
0,H1,1996,1996,1996,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,1476332,0.0,0.0,0.0,1476332,0.0,2090211,0.0,0.0,0
1,H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,223569,0.0,0.0,0.0,223569,0.0,375633,0.0,0.0,0
2,H1,1996,1996,1996,4,0,1,Import,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,132,0.0,0.0,0.0,132,0.0,1935,0.0,0.0,0
3,H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,608,Philippines,PHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,13375,0.0,0.0,0.0,13375,0.0,36440,0.0,0.0,0
4,H1,1996,1996,1996,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,143889,0.0,0.0,0.0,143889,0.0,204811,0.0,0.0,0
5,H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,131037576,0.0,0.0,0.0,131037576,0.0,170440768,0.0,0.0,0
6,H1,1996,1996,1996,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,2604375,0.0,0.0,0.0,2604375,0.0,3798246,0.0,0.0,0
7,H1,1996,1996,1996,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,52921,0.0,0.0,0.0,52921,0.0,63503,0.0,0.0,0
13,H1,1997,1997,1997,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,3747062,0.0,0.0,0.0,3747062,0.0,3310725,0.0,0.0,0
12,H1,1997,1997,1997,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4001,"Natural rubber and gums, in primary form, plates, etc",8,Weight in kilograms,122148824,0.0,0.0,0.0,122148824,0.0,125756720,0.0,0.0,0
