,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
159,H0,1991,1991,1991,4,0,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,79894.0,0.0,0.0,0.0,79894.0,0.0,366253,0.0,0.0,0
145,H0,1991,1991,1991,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511,Palm Oil,8,Weight in kilograms,24903404.0,0.0,0.0,0.0,24903404.0,0.0,8935041,0.0,0.0,0
164,H0,1991,1991,1991,4,0,1,Import,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,2500.0,0.0,0.0,0.0,2500.0,0.0,31966,0.0,0.0,0
163,H0,1991,1991,1991,4,0,2,Export,360,Indonesia,IDN,704,Viet Nam,VNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,40773.0,0.0,0.0,0.0,40773.0,0.0,244824,0.0,0.0,0
162,H0,1991,1991,1991,4,0,1,Import,360,Indonesia,IDN,704,Viet Nam,VNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,3000.0,0.0,0.0,0.0,3000.0,0.0,18011,0.0,0.0,0
161,H0,1991,1991,1991,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,390546.0,0.0,0.0,0.0,390546.0,0.0,2018293,0.0,0.0,0
160,H0,1991,1991,1991,4,0,1,Import,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,10312.0,0.0,0.0,0.0,10312.0,0.0,98676,0.0,0.0,0
158,H0,1991,1991,1991,4,0,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8703,Motor Cars,8,Weight in kilograms,8187.0,0.0,0.0,0.0,8187.0,0.0,84532,0.0,0.0,0
157,H0,1991,1991,1991,4,0,2,Export,360,Indonesia,IDN,702,Singapore,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7108,Gold,8,Weight in kilograms,11602.0,0.0,0.0,0.0,11602.0,0.0,134451904,0.0,0.0,0
155,H0,1991,1991,1991,4,0,2,Export,360,Indonesia,IDN,764,Thailand,THA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,Charcoal,7,Volume in litres,56688.0,0.0,0.0,0.0,22675.0,0.0,3118,0.0,0.0,0
